Country,Life expectancy at birth(29),Obesity rate (%) (23),GDP(in USD)(1),Intentional Homicide Rate(4),Democracy index(7),Military expenditures(%GDP)(5),Human developement index(6),Tertiary education(>2years)(8),Meat Consumption kg/person(30),Total Fertility rate (births/woman) (21),Importance of Religion(9),Population Growth Rate UN[5] 2015–20(28),Economic Freedom Score(26),Cigarettes (22),Internet users Pct (24),Median download speed(Mbit/s)(2),Median ages in years combined,Pure Alcohol consumption(Litres)(3),Oil production April 2022(27)
Dominica,,27.9,,13.8,,,0.72,,67.1,1.59,,0.51,63.6,147.4,71.1,,34.9,8.2,
Andorra,,25.6,42066,2.6,,,0.858,,,,,-0.21,,6398.3,96.3,191.23,46.2,11.3,
Saint Kitts and Nevis,,22.9,,29.4,,,0.777,,99.3,1.53,,0.91,,,93.8,,36.5,9.4,
Monaco,,,234317,0.0,,,,,,,,0.51,,,102.4,220.35,55.4,,
Liechtenstein,,,169260,5.1,,,0.935,,,1.53,,0.65,,,95.3,193.79,43.7,,
Bermuda,,,112653,10.9,,,,,,1.3,,,,,94.0,,43.6,,
Cayman Islands,,,85250,4.5,,,,,,,,,,,73.2,,40.5,,
United States,,,69185,6.8,7.92,3.5,0.921,51.1,,,65%,,,,,191.97,,9.8,
San Marino,,,50425,0.0,,,0.853,,,,,0.51,,,59.6,115.27,45.2,,
Greenland,,,58185,5.4,,,,,,1.8,,,,,69.8,,34.3,,
Macau,,,43555,0.4,,,,,,1.09,,,71.0,,90.2,170.3,40.8,,
Hong Kong,,,49259,0.3,5.57,,0.952,,,0.77,24%,,90.2,,93.0,265.17,45.6,,
British Virgin Islands,,,49444,8.2,,,,,,1.0,,,,,46.4,,37.2,,
European Union[n 1],,,31875,,,,,,,,,,,,,,,,
Puerto Rico,,,32716,17.0,,,,,,0.91,,,,,81.8,,43.6,,
New Caledonia,,,34994,3.1,,,,,76.6,2.02,,,,,78.7,,32.9,–,
Sint Maarten (Dutch part),,,26199,,,,,,,,,,,,,,,,
Aruba,,,29342,1.9,,,,,,1.18,,,,,96.0,,39.9,,
Taiwan,,,—,,8.94,1.6,,,,,,0.28,77.3,,91.9,163.85,42.3,,196.0
American Samoa,,,,0.0,,,,,24.9,,,,,,,,27.2,,
Anguilla,,,,28.3,,,,,,,,,,,76.4,,35.7,,
Curaçao,,,,17.1,,,,,,,,,,,,,,,
East Timor,,,,4.1,7.06,,0.607,,,,,,,,,,,2.1,
French Guiana,,,,13.3,,,,,13.2,,,,,,,,,,
French Polynesia,,,,0.4,,,,,112.2,1.7,,,,,67.7,,33.3,,
Gibraltar,,,,3.2,,,,,,1.85,,,,,99.5,,35.5,,
Guadeloupe,,,,5.8,,,,,12.7,,,,,,,,,,
Guam,,,,4.2,,,,,,2.57,,,,,77.5,,29.4,,
Holy See,,,,0.0,,,,,,,,,,,,,,,
Iraq. Central Iraq,,,,15.4,,,,,,,,,,,,,,,
Iraq (Kurdistan Region),,,,2.2,,,,,,,,,,,,,,,
Isle of Man,,,,0.0,,,,,,1.56,,,,,,,44.6,,
Kosovo,,,,2.0,,,,,,1.52,90%,,67.0,,,,30.5,,
Martinique,,,,2.8,,,,,,,,,,,,,,,
Mayotte,,,,5.8,,,,,,,,,,,,,,,
Micronesia,,,,0.9,,,0.628,,,2.71,,0.63,51.9,,7.0,,,2.5,
Montserrat,,,,0.0,,,,,,,,,,,64.1,,34.8,,
Northern Ireland,,,,1.1,,,,,,,,,,,,,,,
Palestine,,,,0.9,3.83,,0.715,,,3.5,,,,,62.5,,20.0,,
Réunion,,,,1.7,,,,,,,,,,,,,,,
Saint Helena,,,,0.0,,,,,,,,,,,,,,,
Saint Martin,,,,28.7,,,,,,2.42,,,,,,,33.3,,
Saint Pierre and Miquelon,,,,16.5,,,,,,,,,,,,,48.5,,
São Tomé and Príncipe,,,,3.2,,,,,,,,,,,,,,6.8,
Scotland,,,,1.1,,,,,,,,,,,,,,,
Turks and Caicos Islands,,,,5.7,,,,,,1.67,,,,,,,34.6,,
United Kingdom. England and Wales,,,,1.2,,,,,,,,,,,,,,,
United Kingdom. Great Britain and Northern Ireland,,,,1.0,,,,,,,,,,,,,,,
U.S. Virgin Islands,,,,49.6,,,,,,,,,,,,,,,
Poland[c],,,,,,2.4,,,,,,,,,,,,,
Netherlands Antilles,,,,,,,,,73.3,,,,,,,,,–,
Reunion,,,,,,,,,46.8,,,,,,,,,,
Swaziland,,,,,,,,,34.2,,,1.75,,91.7,,,23.7,,
Faroe Islands,,,,,,,,,,2.29,,,,,90.9,,37.2,,
US Virgin Islands,,,,,,,,,,2.01,,,,,67.5,,41.8,,
Sint Maarten,,,,,,,,,,1.58,,,,,,,41.1,,
Channel Islands,,,,,,,,,,1.46,,,,,,,,,
Guernsey,,,,,,,,,,1.46,,,,,,,44.3,,
Jersey,,,,,,,,,,1.46,,,,,35.5,,37.5,,
Curacao,,,,,,,,,,1.38,,,,,,,36.7,,
Northern Mariana Islands,,,,,,,,,,,,,,,,,32.8,,
Vatican City,,,,,,,,,,,,0.08,,,,,,,
Western Sahara,,,,,,,,,,,,2.54,,,,,,,
Cote d'Ivoire,,,,,,,,,,,88%,,,,,,,,
State of Palestine,,,,,,,,,,,93%,,,,,,,,
Caribbean,,,,,,,,,,,,,,,,,,,
Christmas Island,,,,,,,,,,,,,,,,,,,
Falkland Islands,,,,,,,,,,,,,,,76.5,,,,
Norfolk Island,,,,,,,,,,,,,,,,,,,
Pitcairn Islands,,,,,,,,,,,,,,,,,,,
Saint Helena Ascension and Tristan da Cunha,,,,,,,,,,,,,,,53.8,,43.2,,
Svalbard,,,,,,,,,,,,,,,,,,,
Tokelau,,,,,,,,,,,,,,,,,,,
Wallis and Futuna,,,,,,,,,,,,,,,11.9,,34.0,,
Saint Barthelemy,,,,,,,,,,,,,,,,,45.6,,
Congo,,,,,,,,,,,,,,,,,,7.8,
DR Congo,,,,,,,,,,,,,,,,,,2.6,
Estonia[a],,,,,,,,,,,,,,,,,,11.6,
Eswatini[b],,,,,,,,,,,,,,,,,,9.9,
Macedonia,,,,,,,,,,,,,,,,,,8.1,
