Country,Life expectancy at birth(29),Obesity rate (%) (23),GDP(in USD)(1),Intentional Homicide Rate(4),Democracy index(7),Military expenditures(%GDP)(5),Human developement index(6),Tertiary education(>2years)(8),Meat Consumption kg/person(30),Total Fertility rate (births/woman) (21),Importance of Religion(9),Population Growth Rate UN[5] 2015–20(28),Economic Freedom Score(26),Cigarettes (22),Internet users Pct (24),Median download speed(Mbit/s)(2),Median ages in years combined,Pure Alcohol consumption(Litres)(3),Oil production April 2022(27)
United States of America,78.5,41.9,,,,,,,124.8,1.66,,0.71,76.8,1016.6,92.4,,38.5,,11884154.0
Ecuador,78.4,19.9,,14.0,6.13,,0.74,,45.0,2.03,82%,1.42,46.9,93.5,53.5,,28.8,4.4,479518.0
Poland,78.3,23.1,,0.7,6.85,,0.876,43.0,78.1,1.33,75%,-0.17,67.8,1363.1,90.6,130.98,41.9,11.6,17151.0
Slovakia,78.2,20.5,,1.0,6.97,,0.848,31.0,67.4,1.64,,0.04,65.0,1500.9,81.6,,41.8,11.5,43.0
Albania,78.0,21.7,,2.3,6.08,,0.796,,38.2,1.39,39%,0.13,66.5,2491.6,73.7,,34.3,7.5,15003.0
Jordan,77.9,35.5,,1.0,3.62,,0.72,,29.8,2.83,,2.17,66.5,2306.1,58.1,,23.5,0.7,20.0
Cuba,77.8,24.6,,4.4,2.84,,0.764,,32.2,1.44,,0.06,27.8,233.5,50.1,,42.1,6.1,32079.0
Thailand,77.7,10.0,,4.8,6.04,1.2,0.8,,27.9,1.33,97%,0.22,68.3,837.4,75.5,206.81,39.0,8.3,143083.0
China,77.4,6.2,,0.5,2.27,1.6,0.768,35.8,52.4,1.16,,0.39,58.4,2043.0,76.4,172.95,38.4,7.2,4089997.0
Iran,77.3,25.8,,2.4,2.2,2.6,0.774,,23.1,1.69,,1.04,51.1,936.5,88.8,,31.7,1.0,3293401.0
Qatar,77.2,35.1,66799,0.3,3.24,7.0,0.855,,90.5,1.8,95%,2.36,72.6,1020.3,94.2,,33.7,2.0,1321192.0
Uruguay,77.1,27.9,,8.9,8.61,,0.809,,98.6,1.49,41%,0.36,68.6,899.4,84.9,,35.5,10.8,
Algeria,77.1,27.4,,1.6,3.77,4.8,0.745,,18.4,2.89,95%,1.67,46.2,1046.7,59.6,,28.9,0.9,1211863.0
Tunisia,77.0,26.9,,4.6,6.59,,0.731,,25.5,2.09,93%,1.09,55.4,1580.0,64.6,,32.7,1.9,33320.0
Sri Lanka,76.9,5.2,,3.4,6.14,,0.782,,6.6,1.99,99%,0.35,56.4,254.6,32.7,,33.7,4.3,
Bosnia and Herzegovina,76.8,17.9,,1.0,4.84,,0.78,,21.4,1.35,77%,-0.22,61.9,1767.2,70.9,,43.3,6.4,
Argentina,76.6,28.3,,4.6,6.95,,0.842,,79.7,1.89,66%,0.94,52.2,1176.1,88.4,,32.4,9.8,582289.0
Antigua and Barbuda,76.5,18.9,,17.2,,,0.788,,56.0,1.58,,1.01,,89.2,83.2,,32.7,7.0,
Hungary,76.4,26.4,,0.8,6.56,,0.846,32.0,100.7,1.59,39%,-0.34,65.0,2060.3,76.8,193.8,43.6,11.4,17873.0
Lebanon,76.4,32.0,,2.3,4.16,,0.706,,63.1,2.09,87%,0.57,51.1,2037.5,85.0,,33.7,1.5,
Trinidad and Tobago,76.1,18.6,,29.4,7.16,,0.81,,57.8,1.63,,0.26,57.0,682.5,69.4,,37.8,8.4,58436.0
United Arab Emirates,76.1,31.7,43295,0.5,2.7,,0.911,,74.4,1.46,91%,1.39,77.1,748.5,95.2,151.09,38.4,3.8,3467870.0
Armenia,76.0,20.2,,2.2,5.35,,0.759,,27.7,1.57,73%,0.15,67.7,1985.7,73.2,,36.6,5.5,
Barbados,76.0,23.1,,11.4,,,0.79,,88.7,1.63,,0.24,64.7,277.5,83.1,,39.5,9.6,1000.0
Lithuania,76.0,26.3,23844,2.6,7.13,,0.875,55.0,49.5,1.34,42%,-0.55,74.2,1292.0,80.5,132.67,44.5,15.0,700.0
Jamaica,76.0,24.7,,52.1,7.13,,0.709,,56.8,1.35,,0.29,68.6,312.5,49.9,,29.4,4.2,
Mexico,76.0,28.9,,28.2,6.07,0.6,0.758,21.0,58.6,1.82,73%,1.23,64.7,327.1,75.1,,29.3,6.5,1715914.0
Montenegro,75.9,23.3,,2.4,5.77,,0.832,,,1.75,71%,0.04,60.5,1100.8,80.4,,39.6,8.0,
