,Country/Territory,"GDP (in US$) per capita by country, United Nations, estimate","Fixed broadband, Average download speed (Mbit/s) (Ookla)","Recorded per capita consumption of pure alcohol (litres) per adult 15 years of age and over per year, 2016",intentional homicide rate,% of GDP,HDI 2021 data (2022 report),Democracy index: 2020,"('Ages 25–34:\xa0% equivalent to a degree course lasting at least:', '2 years')",% Yes for importance of religion,% Christian,Muslim percentage of total population,% Buddhist,% Jewish,"2020 mortality rate, under-5 (per 1000 live births)",Age of criminal responsability reduced,Minimum wage annual in US$,External Debt by % of GDP,World Bank Gini %,Total health spending per capita in PPP international dollars. Not inflation-adjusted,"Suicide rates by gender and country (age-standardized, per 100,000 population, World Health Organization, 2019)[",Fertility rate in 2019 (births/woman),"Annual Cigarette Consumption per person aged 15 or older, 2016","Obesity rates by country (The World Factbook – Central Intelligence Agency, 2016)",% of Internet users,Median age in year 2020 combined M and F,"2019 Economic Freedom of the World Index, score",Oil production April 2022 (bbl/day)[1],population growth rate UN 2015-2020,"List by the World Health Organization (2019), Life expectancy at birth, All","meat consumption per capita, kg/person 2002","Incarceration rates per 100,000 from World  Prison Brief",literacy rate UN member states elderly 65+,age at first marriage Women,Expenditure on education (% of GDP),Homeless per 10k,Milk consumption 2013 (kg/capita/yr) [1],Scientific publications per capita (per million),Total books published per year,Average daily dietary energy consumption kilocalories,Average yearly temperature (1961–1990 Celsius)
22,Belarus,7121.0,68.73,11.2,2.3,,0.808,2.59,,34.0,,,0.0,,2.9,14.0,0.0,66.0,24.4,,16.5,1.7,2911.3,24.5,73.58642838447064,40.9,57.9,31756.0,-0.15,72.37,58.6,345.0,98.6,26.1,4.8,,133.73,272.0,8205.0,3270.0,6.15
23,Belgium,51166.0,107.12,12.1,1.1,1.2,0.937,7.51,43.0,,,7.6,0.2,,4.2,12.0,24005.0,104.42,26.0,5351.0,13.9,1.7,2440.9,22.1,86.30505883906179,41.6,67.3,,0.58,81.89,86.1,97.0,,30.0,6.5,11.7,236.19,2976.0,13913.0,3769.0,9.55
24,Belize,6229.0,49.44,6.7,31.2,,0.683,,,,,0.2,0.5,,11.7,7.0,5850.0,75.0,57.9,,7.7,2.3,168.6,24.1,44.0965825148551,23.9,55.4,1106.0,2.05,70.47,74.7,289.0,44.8,28.6,7.4,,80.3,114.0,,2775.0,25.35
25,Benin,1361.0,,3.0,,,0.525,4.58,,,,27.7,0.0,,85.9,13.0,865.0,26.0,37.9,,12.7,4.8,204.0,9.6,12.141423009111023,17.0,55.3,,2.73,59.82,16.2,111.0,7.0,18.7,4.0,,8.4,50.0,84.0,2755.0,27.55
26,Bermuda,112653.0,,,10.9,,,,,,,1.0,0.5,,,,,47.0,,,,,,,94.02352574589078,43.6,,,,79.28,,200.0,,,,,95.56,1218.0,,,
27,Bhutan,3063.0,,0.6,2.5,,0.666,5.71,,,,0.2,74.7,,27.6,10.0,609.0,108.0,28.5,,5.1,2.0,,6.4,49.974018824776266,29.1,62.9,,1.18,71.81,3.0,145.0,14.9,22.8,6.6,0.0,,265.0,,,7.4
28,Bolivia,3345.0,,4.8,3.5,,0.692,5.08,,89.0,,0.0,0.0,,25.4,14.0,4444.0,33.0,40.9,,6.8,2.7,291.6,20.2,40.10039511660774,25.3,42.3,28460.0,1.47,63.63,50.0,175.0,67.5,24.1,7.3,,46.04,38.0,1578.0,2412.0,21.55
30,Bosnia and Herzegovina,7143.0,44.85,6.4,1.0,,0.78,4.84,,77.0,,50.7,,,5.7,14.0,3949.0,23.0,33.0,,8.3,1.3,1767.2,17.9,70.9275581995773,43.3,61.9,,-0.22,75.3,21.4,83.0,86.0,26.8,,,174.03,474.0,,3307.0,9.85
31,Botswana,6805.0,,8.4,10.5,,0.693,7.62,,,,0.4,0.0,,44.8,8.0,1933.0,8.0,53.3,,20.2,2.8,433.5,18.9,36.66236160009396,25.7,69.5,,1.79,61.14,27.3,161.0,40.7,26.4,7.8,,117.74,332.0,158.0,2342.0,21.5
32,Brazil,8170.0,90.3,7.8,22.4,1.1,0.754,6.92,16.0,87.0,,,0.1,,14.7,12.0,3184.0,71.59,52.9,,6.4,1.6,333.5,22.1,77.12542015915616,35.2,51.9,3021505.0,0.63,77.25,82.4,389.0,74.3,30.0,6.2,10.0,149.28,416.0,46829.0,3301.0,24.95
34,British Virgin Islands,49444.0,,,8.2,,,,,,,1.2,,,,,,2.0,,,,,,,46.44945697577276,37.2,,,,,,368.0,,,,,,200.0,,,
35,Brunei,31449.0,,0.4,0.5,,0.829,,,,,80.9,8.6,,11.5,7.0,,2.8,,,2.5,1.8,9.7,14.1,91.31783920444212,31.1,65.1,83759.0,1.25,74.64,,186.0,61.6,25.1,4.4,,70.47,1584.0,91.0,2985.0,26.85
