,Country/Territory,"GDP (in US$) per capita by country, United Nations, estimate","Fixed broadband, Average download speed (Mbit/s) (Ookla)","Recorded per capita consumption of pure alcohol (litres) per adult 15 years of age and over per year, 2016",intentional homicide rate,% of GDP,HDI 2021 data (2022 report),Democracy index: 2020,"('Ages 25–34:\xa0% equivalent to a degree course lasting at least:', '2 years')",% Yes for importance of religion,% Christian,Muslim percentage of total population,% Buddhist,% Jewish,"2020 mortality rate, under-5 (per 1000 live births)",Age of criminal responsability reduced,Minimum wage annual in US$,External Debt by % of GDP,World Bank Gini %,Total health spending per capita in PPP international dollars. Not inflation-adjusted,"Suicide rates by gender and country (age-standardized, per 100,000 population, World Health Organization, 2019)[",Fertility rate in 2019 (births/woman),"Annual Cigarette Consumption per person aged 15 or older, 2016","Obesity rates by country (The World Factbook – Central Intelligence Agency, 2016)",% of Internet users,Median age in year 2020 combined M and F,"2019 Economic Freedom of the World Index, score",Oil production April 2022 (bbl/day)[1],population growth rate UN 2015-2020,"List by the World Health Organization (2019), Life expectancy at birth, All","meat consumption per capita, kg/person 2002","Incarceration rates per 100,000 from World  Prison Brief",literacy rate UN member states elderly 65+,age at first marriage Women,Expenditure on education (% of GDP),Homeless per 10k,Milk consumption 2013 (kg/capita/yr) [1],Scientific publications per capita (per million),Total books published per year,Average daily dietary energy consumption kilocalories,Average yearly temperature (1961–1990 Celsius)
96,France,44229.0,192.25,12.6,1.1,1.9,0.903,7.99,45.0,30.0,,8.8,0.5,,4.4,13.0,24259.0,112.06,30.7,5097.0,9.7,1.8,1089.9,21.6,92.15662367635846,41.7,63.8,11969.0,0.39,82.32,101.1,107.0,,32.0,5.4,45.0,241.31,1664.0,106799.0,3502.0,10.7
97,French Guiana,,,,13.3,,,,,,,0.9,0.0,,,,,,,,,3.3,,,,,,,,,13.2,280.0,69.7,,,,,442.0,,,
98,French Polynesia,19915.0,,,0.4,,,,,,,0.0,0.0,,,,,,,,,1.9,,,67.67248184401642,33.3,,,,79.49,112.2,189.0,,,,,93.56,600.0,,,
100,Gabon,7911.0,,11.5,,,0.706,3.54,,,,10.0,,,41.7,13.0,3246.0,35.0,38.0,,13.1,3.9,451.2,15.0,44.42206255907814,21.0,56.3,195808.0,2.17,65.82,46.0,228.0,60.6,20.4,2.7,,30.16,85.0,,2633.0,25.05
101,Gambia,772.0,,3.8,,,0.5,4.49,,,,96.4,,,49.4,12.0,253.0,61.0,28.8,,9.6,5.2,249.1,10.3,15.786600785782579,21.8,52.4,,2.93,62.08,5.2,22.0,10.4,21.5,2.1,,45.71,92.0,14.0,2533.0,27.5
103,Georgia,4975.0,,9.8,2.0,,0.802,5.31,,81.0,,10.7,,,9.3,14.0,93.0,128.0,34.2,,7.7,2.1,1917.7,21.7,91.7123827162465,38.6,75.9,276.0,-0.27,71.69,26.0,265.0,99.1,28.1,3.8,760.0,149.26,511.0,581.0,2835.0,5.65
104,Germany,51073.0,120.93,13.4,0.8,1.4,0.942,8.67,30.0,40.0,,,0.3,,3.7,14.0,29520.0,65.33,31.7,6290.0,8.3,1.6,1599.5,22.3,93.26909683627893,47.8,73.5,33242.0,0.2,80.9,82.1,67.0,,32.1,4.8,31.4,258.7,2097.0,79916.0,3554.0,8.4
105,Ghana,2409.0,51.93,2.7,1.8,,0.632,6.5,,95.0,,19.9,0.0,,44.7,12.0,433.0,30.0,43.5,,10.5,3.8,40.5,10.9,45.88531896430762,21.4,57.5,179890.0,2.16,63.8,9.9,47.0,34.9,21.7,3.6,32.9,9.08,136.0,28.0,3035.0,27.2
106,Gibraltar,,,,3.2,,,,,,,4.0,,,,,,,,,,,,,99.4643239768588,35.5,,,,,,273.0,,,,,,353.0,,,
108,Greece,20571.0,36.73,10.4,0.9,3.7,0.887,7.39,40.0,71.0,,,0.0,,4.1,15.0,12915.0,322.85,33.6,2315.0,3.6,1.3,2078.6,24.9,75.85601843497092,45.3,57.7,1497.0,-0.21,80.18,78.7,103.0,92.5,30.1,4.1,37.1,255.26,1884.0,9583.0,3382.0,15.4
109,Greenland,58185.0,,,5.4,,,,,,,0.0,,,,,,2.0,,,,,,,69.77223832299131,34.3,,,,71.15,,241.0,,,,,,2048.0,,,
110,Grenada,8950.0,54.65,9.3,4.0,,0.795,,,,,0.3,,,16.4,,,66.0,,,0.6,2.0,158.2,21.3,51.11307278709574,33.3,,,0.46,74.94,97.0,335.0,96.2,31.0,3.2,6.4,86.88,2212.0,,2402.0,26.0
111,Guadeloupe,,,,5.8,,,,,,,0.4,,,,,,,,,,2.1,,,,,,,,,12.7,190.0,82.9,,,,,187.0,,,
112,Guam,,,,4.2,,,,,,,0.0,1.1,,,,,,,,,2.3,,,77.53351237876318,29.4,,,,76.66,,408.0,95.9,,,,,494.0,,,
113,Guatemala,4883.0,,2.4,20.0,,0.627,4.97,,88.0,,0.0,0.0,,23.6,,3924.0,28.0,48.3,,6.2,2.8,111.8,21.2,66.72920091980666,23.2,62.6,6188.0,1.94,69.24,23.8,127.0,50.7,21.3,2.8,315.0,46.6,24.0,1042.0,2551.0,23.45
115,Guinea-Bissau,1185.0,,1.3,1.1,,0.465,3.08,,,,89.1,0.0,,95.6,10.0,412.0,20.0,29.6,,12.3,4.6,316.0,7.7,10.713627481597936,19.1,55.7,,2.57,58.89,6.5,34.0,13.1,19.8,2.2,,20.62,11.0,,2746.0,25.7
116,Guyana,9999.0,45.37,6.3,16.3,,0.714,6.01,,,,7.3,0.0,,28.4,,2015.0,36.0,45.1,,40.9,2.4,359.1,20.2,36.090841409105764,27.5,56.8,275545.0,0.57,65.67,31.8,271.0,49.9,21.5,6.3,,141.68,91.0,42.0,2913.0,26.0
117,Haiti,1664.0,,5.8,13.0,,0.535,4.22,,,,0.0,0.0,,60.5,,1014.0,24.0,41.1,,11.2,2.9,143.0,22.7,11.82771643481686,24.1,52.7,,1.2,63.19,15.3,98.0,8.5,23.7,2.5,34.0,18.98,11.0,,2121.0,24.9
119,Honduras,2772.0,,4.0,38.2,,0.621,5.36,,,,0.3,0.1,,16.2,,2420.0,38.0,48.2,,2.6,2.4,469.8,21.4,28.971522166263146,24.4,60.2,,1.63,70.12,24.7,191.0,66.3,21.2,6.0,1235.0,91.33,37.0,102.0,2673.0,23.5
120,Hong Kong,49259.0,265.17,,0.3,,0.952,5.57,,24.0,,4.1,13.2,,,10.0,10708.0,504.1,53.9,,,1.4,,,93.00056654290609,45.6,90.2,,,85.49,,106.0,,30.6,3.3,,105.85,3273.0,14603.0,3267.0,21.45
121,Hungary,18728.0,193.8,11.4,0.8,,0.846,6.56,32.0,39.0,,,0.0,,4.0,12.0,9184.0,160.0,29.7,2107.0,11.8,1.5,2060.3,26.4,76.84306327657478,43.6,65.0,17873.0,-0.34,74.47,100.7,194.0,99.1,30.1,4.7,30.7,159.05,1250.0,9589.0,3316.0,9.75
122,Iceland,69133.0,,9.1,0.5,,0.959,9.37,40.0,,,0.2,0.4,,1.9,15.0,,81.0,26.1,4236.0,11.2,1.7,848.1,21.9,88.89140912957187,37.1,77.1,,0.77,83.12,84.8,35.0,,32.7,7.5,10.3,225.82,4622.0,1767.0,3654.0,-0.7
123,India,2274.0,54.17,5.7,2.9,2.4,0.633,6.61,,90.0,,14.6,0.8,,32.6,7.0,674.0,16.83,34.2,,12.9,2.2,89.3,3.9,62.60817262454231,28.7,55.2,607890.0,1.1,67.24,5.2,40.0,45.4,25.3,2.9,12.6,84.5,138.0,90000.0,2533.0,23.65
124,Indonesia,4333.0,,0.8,0.6,0.7,0.705,6.3,11.0,99.0,,86.7,0.8,,23.0,12.0,2449.0,29.1,37.9,,2.6,2.3,1675.5,6.9,78.76662741805264,31.1,65.8,610532.0,1.05,67.57,8.3,99.0,70.1,20.0,3.6,136.0,14.82,181.0,135081.0,2884.0,25.85
125,Iran,6766.0,,1.0,2.4,2.6,0.774,2.2,,,,99.4,0.0,,12.9,,20881.0,2.0,40.9,,5.1,2.1,936.5,25.8,88.81211893548469,31.7,51.1,3293401.0,1.04,73.88,23.1,228.0,36.8,23.8,4.0,1.9,46.69,863.0,102691.0,3087.0,17.25
126,Iraq,4686.0,,0.4,9.4,,0.686,3.62,,84.0,,,0.0,,25.2,9.0,2069.0,44.0,29.5,,4.7,3.6,1184.4,30.4,43.39717935519771,21.2,,4470506.0,2.78,70.38,,179.0,20.4,25.3,3.5,304.0,22.18,454.0,,2608.0,21.4
127,Ireland,101109.0,112.81,13.0,0.4,,0.945,9.05,52.0,54.0,,1.4,0.2,,3.0,10.0,28302.0,548.53,29.2,4877.0,8.9,1.8,976.5,25.3,80.70853335568691,37.8,80.5,,0.78,82.1,106.3,91.0,,34.8,3.7,16.0,291.86,3309.0,1773.0,3885.0,9.3
129,Israel,54111.0,147.36,3.8,1.9,4.5,0.919,7.84,46.0,51.0,,18.0,0.3,,3.6,12.0,20700.0,29.28,38.6,2749.0,5.2,3.0,1280.7,26.1,76.2774381608032,30.4,72.8,,1.55,82.5,97.1,168.0,79.8,28.2,5.8,29.0,193.6,2402.0,8411.0,3528.0,19.2
130,Italy,35579.0,90.93,7.5,0.5,1.7,0.895,7.74,25.0,72.0,,4.8,0.2,,2.9,14.0,,143.09,35.2,3496.0,4.3,1.3,1493.3,19.9,85.31350323864677,46.5,62.2,83151.0,-0.13,82.8,90.4,97.0,96.7,31.5,3.8,8.4,246.88,2159.0,125948.0,3503.0,13.45
131,Ivory Coast,2539.0,49.33,8.4,,,0.55,4.11,,,,42.9,,,77.9,,,24.0,37.2,,15.7,4.6,352.7,10.3,,,,,2.49,,,92.0,18.0,19.5,,,6.36,23.0,,2778.0,26.35
132,Jamaica,5184.0,37.95,4.2,52.1,,0.709,7.13,,,,0.2,0.0,,13.3,,4461.0,122.0,45.5,,2.3,2.0,312.5,24.7,49.8599742900136,29.4,68.6,,0.29,70.5,56.8,125.0,66.6,33.2,5.4,,91.13,175.0,,2792.0,24.95
133,Japan,39650.0,167.18,8.0,0.2,1.1,0.925,8.13,60.0,24.0,,0.1,36.2,,2.5,14.0,16924.0,98.44,32.9,4554.0,12.2,1.4,1583.2,4.3,94.21203469667135,48.6,72.1,3243.0,-0.23,84.45,45.9,36.0,,30.0,3.6,0.2,72.06,1016.0,139078.0,2705.0,11.15
135,Jordan,4058.0,67.35,0.7,1.0,,0.72,3.62,,,,97.2,0.4,,15.0,12.0,5408.0,83.0,33.7,,2.0,2.7,2306.1,35.5,58.12738074884749,23.5,66.5,20.0,2.17,74.26,29.8,185.0,87.7,26.6,3.6,0.0,77.68,587.0,511.0,2732.0,18.3
136,Kazakhstan,10055.0,56.12,7.7,3.2,,0.811,3.14,,43.0,,70.2,0.2,,10.0,14.0,1972.0,65.71,27.8,,18.1,2.7,1800.9,21.0,72.48052701369757,31.6,65.4,1726514.0,1.13,70.23,44.8,184.0,99.5,25.0,2.8,0.6,288.12,279.0,1226.0,3067.0,5.5
137,Kenya,2082.0,,3.4,5.3,,0.575,5.05,,94.0,,11.2,0.0,,41.9,8.0,702.0,26.0,38.7,,11.0,3.4,264.4,7.1,16.718012171314534,20.0,55.1,,2.49,61.43,14.3,107.0,54.0,20.2,5.2,73.3,94.86,86.0,300.0,2197.0,24.75
138,Kiribati,1765.0,,0.4,7.2,,0.624,,,,,0.0,,,49.6,,2033.0,8.0,,,30.6,3.5,1396.0,46.0,13.168676381582008,25.7,47.3,,1.71,67.42,32.1,113.0,,20.1,12.0,,10.93,141.0,,3078.0,28.2
141,Kosovo,5663.0,54.39,,2.0,,,,,90.0,,93.0,,,,14.0,2413.0,37.0,29.0,,,1.7,,,,30.5,67.0,,,,,93.0,,,,,,,,,
142,Kuwait,32150.0,130.66,0.0,0.3,4.5,0.831,3.8,,91.0,,74.6,2.8,,8.9,7.0,2400.0,0.42,,,2.7,2.1,1412.7,37.9,95.38090037114299,29.7,60.8,2825724.0,1.78,78.67,60.2,103.0,69.5,27.5,3.8,,157.66,502.0,196.0,3471.0,27.15
143,Kyrgyz Republic,1339.0,48.12,6.2,,,0.692,4.21,,72.0,,,0.0,,17.5,14.0,162.0,112.0,29.0,,8.3,3.0,519.6,16.6,35.37570336332175,27.3,62.3,658.0,1.44,71.9,39.0,117.0,92.5,23.6,6.1,,210.92,76.0,1455.0,2729.0,2.1
144,Laos,2569.0,43.98,10.4,,,0.607,1.77,,,,0.0,66.1,,44.1,15.0,1732.0,53.0,38.8,,6.0,2.6,814.6,5.3,23.562337635926568,24.0,57.4,,1.45,68.06,15.0,166.0,58.6,20.5,2.9,,2.92,42.0,88.0,2758.0,22.8
146,Latvia,21267.0,128.69,12.9,3.0,,0.863,7.24,40.0,39.0,,,0.0,,4.0,14.0,8799.0,126.0,35.7,1861.0,16.1,1.7,1189.1,23.6,84.60723222295094,44.4,70.4,,-1.03,73.28,45.7,169.0,99.9,30.6,4.7,35.3,174.11,1349.0,2375.0,3229.0,5.6
147,Lebanon,6785.0,,1.5,2.3,,0.706,4.16,,87.0,,67.8,0.2,,7.0,7.0,5373.0,220.0,31.8,,2.8,2.1,2037.5,32.0,85.02593859669983,33.7,51.1,,0.57,75.05,63.1,143.0,60.2,28.8,2.5,,114.52,628.0,2000.0,2857.0,15.0
148,Lesotho,1040.0,,5.0,37.7,,0.514,6.3,,,,0.1,0.0,,89.5,10.0,956.0,53.0,44.9,,87.5,3.1,448.0,16.6,29.16175386398323,24.7,53.1,,1.31,53.06,15.4,104.0,51.4,20.9,6.5,,25.35,46.0,,2323.0,11.85
149,Liberia,471.0,,5.8,3.1,,0.481,5.32,,,,20.0,0.0,,78.3,7.0,4.0,51.0,35.3,,7.4,4.2,154.4,9.9,7.270879128496542,18.0,49.7,,2.52,60.75,7.9,55.0,32.8,18.9,2.3,,3.04,15.0,,2168.0,25.3
150,Libya,5791.0,,0.0,,,0.718,1.95,,,,97.0,0.3,,11.1,14.0,1169.0,9.0,,,4.5,2.2,327.2,32.5,20.594787712517242,25.8,,1057890.0,1.33,71.91,28.6,176.0,24.2,29.2,2.3,405.0,75.0,97.0,26.0,,21.8
151,Liechtenstein,169260.0,193.79,,5.1,,0.935,,,,,5.4,0.0,,,14.0,,0.0,,,,1.4,,,95.29188759957991,43.7,,,0.65,,,31.0,,31.2,2.1,0.0,,3193.0,,,5.8
152,Lithuania,23844.0,132.67,15.0,2.6,,0.875,7.13,55.0,42.0,,0.1,0.0,,3.3,14.0,13899.0,74.0,36.0,2397.0,20.2,1.7,1292.0,26.3,80.50695978793182,44.5,74.2,700.0,-0.55,74.34,49.5,177.0,99.8,28.3,4.0,14.1,295.46,1667.0,3479.0,3411.0,6.2
153,Luxembourg,133745.0,154.26,13.0,0.6,,0.93,8.68,50.0,39.0,,2.3,0.0,,2.8,18.0,32103.0,22.1,33.4,5292.0,8.6,1.4,6330.9,22.6,89.28128436262848,39.5,75.9,,1.27,82.75,141.7,106.0,,31.8,4.0,37.5,255.3,3554.0,2000.0,3465.0,8.65
154,Macao,43555.0,170.3,,0.4,,,,,,,0.1,17.3,,,,9972.0,,36.0,,,1.2,,,90.18259353604027,40.8,71.0,,,85.4,,197.0,81.2,,2.7,,37.46,3736.0,,,
156,Madagascar,500.0,41.4,1.9,,,0.501,5.7,,,,10.0,0.0,,50.2,13.0,376.0,41.0,42.6,,9.2,4.0,404.2,5.3,8.666406392413133,20.3,56.6,,2.67,64.48,17.6,98.0,49.4,18.4,2.8,,24.84,15.0,119.0,1938.0,22.65
158,Malawi,613.0,,3.7,1.8,,0.512,5.74,,99.0,,20.0,0.0,,38.6,7.0,266.0,39.0,38.5,,10.6,4.1,241.1,5.8,12.901756091154928,16.8,51.4,,2.87,62.9,5.1,76.0,35.1,17.9,4.0,,7.98,50.0,117.0,2392.0,21.9
159,Malaysia,11101.0,103.34,0.9,0.7,,0.803,7.19,,96.0,,63.5,19.8,,8.6,10.0,4348.0,58.17,41.2,,5.8,2.0,441.2,15.6,75.48632904263594,29.2,74.0,502082.0,1.35,74.88,50.9,217.0,47.1,25.0,4.7,,25.28,1135.0,15354.0,2845.0,25.4
160,Maldives,10366.0,,2.7,0.6,,0.747,,,,,100.0,0.6,,7.6,15.0,,23.0,29.3,,2.8,1.8,560.9,8.6,52.87435013817054,29.5,53.2,,1.85,79.92,16.6,314.0,92.8,21.6,4.1,,111.47,238.0,,2235.0,28.0
161,Mali,875.0,,1.3,,,0.428,3.93,,95.0,,95.0,0.0,,94.0,13.0,616.0,26.0,36.0,,8.0,5.8,316.9,8.6,10.767139148202032,16.1,58.1,,2.99,58.94,19.0,40.0,13.6,18.8,3.1,164.0,98.68,16.0,14.0,2873.0,28.25
162,Malta,33642.0,134.48,8.1,0.4,,0.918,7.68,,86.0,,2.6,0.0,,6.5,,11245.0,691.0,31.4,,5.3,1.5,1527.9,28.9,65.49051918564474,42.3,68.6,,0.31,82.86,86.9,113.0,85.8,28.5,5.3,,190.06,1974.0,511.0,3420.0,19.2
163,Marshall Islands,6111.0,,,4.0,,0.639,,,,,0.0,,,30.7,,4160.0,52.0,,,,4.1,,52.9,48.89417360285375,23.8,,,0.1,65.27,,66.0,89.4,24.2,15.8,,,128.0,,,27.4
164,Martinique,,,,2.8,,,,,,,0.2,0.0,,,,,,,,,1.9,,,,,,,,,,254.0,88.1,,,,,155.0,,,
165,Mauritania,2166.0,,0.0,1.0,,0.556,3.92,,98.0,,99.9,,,70.7,7.0,982.0,76.0,32.6,,5.5,4.5,30.3,12.7,19.92206239948481,21.0,55.7,,2.69,64.36,29.9,57.0,26.6,19.0,2.6,,160.82,20.0,,2877.0,27.65
166,Mauritius,8873.0,,3.6,2.6,,0.802,8.14,,,,17.3,0.0,,16.5,0.0,2538.0,1368.0,36.8,,8.8,1.4,542.5,10.8,54.11524233687347,36.3,73.0,,0.23,73.68,39.6,197.0,64.6,25.4,4.8,,117.27,356.0,80.0,3051.0,22.4
168,Mexico,10046.0,48.35,6.5,28.2,0.6,0.758,6.07,21.0,73.0,,0.01,0.0,,13.7,14.0,3104.0,52.92,45.4,1122.0,5.3,2.1,327.1,28.9,75.05479523419729,29.3,64.7,1715914.0,1.23,70.21,58.6,175.0,78.9,30.5,4.9,35.4,111.87,231.0,18713.0,3157.0,21.0
171,Moldova,4468.0,114.01,15.2,3.0,,0.767,5.78,,72.0,,0.4,,,14.5,14.0,2715.0,70.0,25.7,,12.2,1.3,1747.2,18.9,100.72764841878474,37.7,59.1,,-0.24,68.85,22.7,236.0,95.8,26.0,6.7,,155.18,211.0,4559.0,2383.0,9.45
172,Monaco,234317.0,220.35,,0.0,,,,,,,0.8,,,3.0,,24092.0,240.0,,,,1.9,,,102.36329935125117,55.4,,,0.51,,,36.0,,30.4,1.5,,,6050.0,41.0,,13.55
173,Mongolia,4510.0,43.67,7.4,6.2,,0.739,6.48,,,,5.0,55.1,,15.4,14.0,2316.0,245.0,32.7,,18.0,2.9,1982.5,20.6,21.78266087815754,29.8,55.4,15888.0,1.5,70.97,108.8,183.0,94.6,26.0,4.1,,139.82,194.0,285.0,2579.0,1.7
174,Montenegro,9252.0,64.44,8.0,2.4,,0.832,5.77,,71.0,,19.1,0.0,,2.4,14.0,6387.0,151.0,36.8,,16.2,1.7,1100.8,23.3,80.44083146056678,39.6,60.5,,0.04,73.82,,153.0,93.9,28.0,,,349.21,1006.0,,3500.0,10.55
175,Montserrat,16199.0,,,0.0,,,,,,,0.1,,,,,,2.0,,,,,,,64.13855558071089,34.8,,,,,,,,,,,,800.0,,,
176,Morocco,3853.0,,0.6,1.9,,0.683,5.04,,97.0,,99.0,0.0,,18.7,12.0,3997.0,46.0,39.5,,7.3,2.4,682.3,26.1,59.53289817638,29.1,62.9,25.0,1.26,74.04,20.6,260.0,34.1,25.7,5.4,,54.68,259.0,3677.0,3412.0,17.1
177,Mozambique,492.0,,2.4,3.6,,0.446,3.51,,,,18.9,0.0,,70.6,16.0,550.0,72.0,50.5,,23.2,4.8,501.9,7.2,19.2106592521911,17.0,48.6,,2.86,59.33,5.6,62.0,26.0,18.7,6.5,246.0,4.79,20.0,,2103.0,23.8
178,Myanmar,1089.0,,4.8,28.4,,0.585,3.04,,,,4.3,89.9,,43.7,7.0,691.0,17.0,30.7,,3.0,2.1,226.5,5.8,43.96067339498559,29.2,53.6,7400.0,0.9,65.67,10.7,183.0,58.2,20.5,2.2,,31.48,18.0,3660.0,2673.0,13.05
179,Namibia,4836.0,,9.8,12.4,,0.615,6.52,,,,0.4,0.0,,40.2,7.0,,64.0,59.1,,13.5,3.3,298.4,17.2,36.89305499948422,21.8,58.7,,2.12,59.27,34.0,318.0,56.7,29.2,8.4,,73.05,205.0,106.0,2469.0,19.95
180,Nauru,12390.0,,6.0,,,,,,,,0.0,1.1,,28.5,,,22.0,,,,,,61.0,51.75445607865079,27.0,,,-0.06,,,140.0,,21.2,4.9,,,254.0,,,
181,Nepal,1159.0,,2.0,2.3,,0.602,5.22,,93.0,,4.2,10.3,,28.2,10.0,1524.0,16.0,32.8,,9.8,1.9,511.6,4.1,53.90379866628218,25.3,53.8,,1.09,68.45,10.0,83.0,20.8,20.1,5.2,,52.1,84.0,,2769.0,8.1
182,Netherlands,57871.0,152.94,8.7,0.7,1.6,0.941,8.96,45.0,,,5.0,0.2,,4.2,,24925.0,381.62,26.0,5482.0,9.3,1.4,1459.9,20.4,90.71974510356024,42.8,76.8,29451.0,0.29,81.46,89.3,65.0,,30.9,5.5,18.0,341.47,3534.0,16502.0,3297.0,9.25
184,New Caledonia,34994.0,,,3.1,,,,,,,2.8,0.6,,,,,1.0,,,,1.9,,,78.72029186935372,32.9,,,,79.13,76.6,195.0,90.6,,,,108.0,676.0,,2858.0,
185,New Zealand,48824.0,153.88,10.7,2.6,,0.937,9.25,39.0,,,0.9,1.6,,4.7,10.0,33487.0,81.76,33.9,3913.0,10.3,1.9,685.1,30.8,83.30566129542567,37.2,84.4,6551.0,0.93,82.21,142.1,162.0,,29.4,6.4,217.3,137.25,3286.0,2526.0,3191.0,19.53
186,Nicaragua,2046.0,,5.2,11.0,,0.667,3.6,,84.0,,0.0,0.0,,16.0,13.0,1506.0,83.0,46.2,,4.7,2.4,327.8,23.7,25.285860676676585,27.3,57.7,,1.07,73.84,14.9,332.0,49.2,20.6,4.3,,85.16,21.0,27.0,2582.0,24.9
187,Niger,591.0,,0.5,4.4,,0.4,3.29,,99.0,,98.3,,,77.5,13.0,650.0,36.0,37.3,,10.1,6.8,118.8,5.5,8.692072878321792,14.8,51.6,8000.0,3.81,61.58,11.2,39.0,13.7,17.2,3.5,,58.92,8.0,,2601.0,27.15
188,Nigeria,2019.0,,13.4,21.7,,0.535,4.1,,96.0,,,0.0,,113.8,7.0,901.0,2.0,35.1,,6.9,5.3,162.5,8.9,63.824923428426914,18.6,57.3,1316415.0,2.58,52.68,8.6,35.0,21.6,21.2,5.94,1658.0,7.91,63.0,1314.0,2572.0,27.0
192,North Korea,654.0,,3.9,,,,1.08,,,,0.1,1.5,,16.5,14.0,,18.0,,,8.2,1.9,993.3,6.8,,34.6,5.9,,0.47,73.28,10.8,,100.0,25.5,,,3.79,9.0,,2019.0,5.7
193,North Macedonia,6600.0,37.2,,1.1,,0.77,5.89,,76.0,,33.3,0.0,,5.9,16.0,2418.0,73.0,33.5,,7.2,1.5,2784.9,22.4,75.5782021841556,39.0,71.1,,0.08,74.54,35.4,128.0,82.5,26.9,3.3,,157.93,540.0,,3072.0,9.8
200,Norway,89242.0,159.99,7.5,0.5,1.6,0.961,9.81,48.0,,,3.2,0.6,,2.2,15.0,,133.14,27.7,6495.0,11.8,1.7,552.8,23.1,94.76596518873423,39.5,73.0,1704297.0,0.94,83.16,61.7,55.0,,34.1,8.0,6.2,261.34,4654.0,14114.0,3371.0,1.5
203,Oman,19509.0,57.53,0.8,0.2,5.2,0.816,3.0,,,,86.0,0.8,,11.0,9.0,10263.0,35.0,,,4.5,2.8,271.1,27.0,82.24404049931965,26.2,61.0,1063251.0,4.08,72.54,49.8,46.0,41.9,24.8,6.8,,152.28,562.0,7.0,2940.0,25.6
205,Pakistan,1480.0,,0.3,4.0,2.6,0.544,4.31,,92.0,,96.5,0.0,,65.2,7.0,1289.0,43.0,29.6,,9.8,3.5,363.2,8.6,60.81692493478297,22.0,55.0,83000.0,1.91,66.1,12.3,38.0,27.1,23.2,2.9,943.0,183.13,127.0,3811.0,2486.0,20.2
206,Palau,12084.0,,,11.2,,0.767,,,,,3.8,0.8,,16.9,10.0,6240.0,62.1,,,,,,55.3,,33.9,,,1.06,,,428.0,84.7,26.6,7.6,,,1169.0,,,27.6
207,Palestine,3514.0,,,0.9,,0.715,3.83,,93.0,,97.5,0.0,,,,6985.0,35.0,,,,3.6,,,62.49887014278278,21.9,,,,73.47,,,63.9,20.1,5.3,,,230.0,114.0,,
208,Panama,14618.0,125.25,7.9,12.6,,0.805,7.18,,88.0,,0.7,0.2,,14.3,12.0,3819.0,56.6,50.9,,2.9,2.4,219.3,22.7,54.509456670896085,30.1,67.2,,1.55,76.22,54.5,499.0,80.9,21.6,4.1,,70.29,182.0,940.0,2851.0,25.4
209,Papua New Guinea,2673.0,,1.2,9.4,,0.558,6.1,,,,0.0,0.0,,43.9,7.0,2086.0,111.0,41.9,,3.6,3.5,1689.3,21.3,9.296556176997754,24.0,58.4,35917.0,2.01,65.35,73.0,58.0,33.0,21.4,,,,25.0,122.0,,25.25
210,Paraguay,6035.0,56.89,7.2,7.8,,0.717,6.18,,92.0,,0.0,0.0,,18.9,14.0,4055.0,54.0,45.1,,6.2,2.4,384.5,20.3,62.059438237930465,29.7,61.8,,1.25,70.26,70.3,234.0,77.8,22.7,3.4,,75.72,55.0,1007.0,2768.0,23.55
211,Peru,6622.0,51.81,6.3,5.7,,0.762,6.53,,84.0,,0.0,0.2,,12.8,14.0,3170.0,44.0,40.2,,2.7,2.2,97.7,19.7,46.48975836641879,29.1,67.8,40538.0,1.2,72.38,34.5,264.0,77.7,23.5,3.9,223.0,62.15,164.0,6885.0,2775.0,19.6
212,Philippines,3461.0,49.31,6.6,4.3,,0.699,6.56,,96.0,,,,,26.4,15.0,3009.0,58.9,40.7,,2.5,2.5,1132.2,6.4,64.10528866759148,24.1,63.8,925.0,1.51,69.27,31.1,162.0,90.1,25.3,3.2,424.0,15.66,51.0,1507.0,2662.0,25.55
214,Poland,17736.0,130.98,11.6,0.7,2.4,0.876,6.85,43.0,75.0,,0.02,0.0,,4.4,13.0,11192.0,49.3,28.8,2107.0,9.3,1.4,1363.1,23.1,90.57663198280159,41.9,67.8,17151.0,-0.17,75.6,78.1,208.0,93.0,27.0,4.6,8.0,205.39,1364.0,21130.0,3537.0,7.85
216,Portugal,24651.0,150.39,12.3,0.8,,0.866,7.9,33.0,,,0.4,0.6,,3.3,16.0,9935.0,164.48,34.7,3134.0,7.2,1.3,1133.4,20.8,74.07255301526136,44.6,65.3,,-0.39,81.07,91.1,122.0,80.5,32.4,4.9,8.0,205.04,2821.0,18925.0,3480.0,15.15
217,Puerto Rico,32716.0,,,17.0,,,,,,,0.0,0.3,,,,,161.93,,,,1.2,,,81.84597921148098,43.6,,,,80.16,,221.0,84.5,,6.1,,,265.0,,,
218,Qatar,66799.0,105.2,2.0,0.3,7.0,0.855,3.24,,95.0,,77.5,3.1,,5.8,7.0,,106.09,41.1,,4.7,1.8,1020.3,35.1,94.19038886109288,33.7,72.6,1321192.0,2.36,79.27,90.5,58.0,41.0,25.4,2.9,,,1815.0,209.0,,27.15
219,Reunion,,,,1.7,,,,,,,4.2,0.2,,,,,,,,,2.2,,,,,,,,,46.8,137.0,42.0,,,,,66.0,69.0,,
