Country or area,Subregion,Region,Internet users,Pct,Population .mw-parser-output .nobold{font-weight:normal}(2021)[10][11],Sources,Year
Finland,Northern Europe,Europe,5410000,,5535992,[99],2023.0
Singapore,South-eastern Asia,Asia,4821119,,5941060,[100] [failed verification],2021.0
Zambia,Eastern Africa,Africa,4760715,,19473125,[101] [failed verification],2021.0
Lebanon,Western Asia,Asia,4755187,,5592631,[102] [failed verification],2021.0
Senegal,Western Africa,Africa,4698108,,16876720,[103] [failed verification],2021.0
Bulgaria,Eastern Europe,Europe,4492326,,6885868,[104] [failed verification],2021.0
Zimbabwe,Eastern Africa,Africa,4472992,,15993524,[105] [failed verification],2021.0
Slovakia,Eastern Europe,Europe,4446926,,5447622,[106] [failed verification],2021.0
New Zealand,"Australia, New Zealand",Oceania,4273353,,5129727,[107] [failed verification],2021.0
Angola,Middle Africa,Africa,4271053,,34503774,[108] [failed verification],2021.0
Paraguay,South America,Americas,4160340,,6703799,[109] [failed verification],2021.0
Afghanistan,Southern Asia,Asia,4068194,,40099462,[110] [failed verification],2021.0
Kuwait,Western Asia,Asia,4053797,,4250114,[111] [failed verification],2021.0
Ireland,Northern Europe,Europe,4024552,,4986526,[112] [failed verification],2021.0
Oman,Western Asia,Asia,3717818,,4520471,[113] [failed verification],2021.0
Costa Rica,Central America,Americas,3511549,,5153957,[114] [failed verification],2021.0
Palestine,Western Asia,Asia,3208312,,5133392,[115] [failed verification],2021.0
Moldova,Eastern Europe,Europe,3083783,,3061506,[116] [failed verification],2021.0
Burkina Faso,Western Africa,Africa,3047909,,22100683,[117] [failed verification],2021.0
Honduras,Central America,Americas,2977793,,10278345,[118] [failed verification],2021.0
Croatia,Southern Europe,Europe,2811056,,4060135,[119] [failed verification],2021.0
Puerto Rico (U.S.),Caribbean,Americas,2664928,,3256028,[120] [failed verification],2021.0
Rwanda,Eastern Africa,Africa,2657770,,13461888,[121] [failed verification],2021.0
Malawi,Eastern Africa,Africa,2566126,,19889742,[122] [failed verification],2021.0
Qatar,Western Asia,Asia,2532059,,2688235,[123] [failed verification],2021.0
Madagascar,Eastern Africa,Africa,2505948,,28915653,[124] [failed verification],2021.0
Bosnia and Herzegovina,Southern Europe,Europe,2320000,,3270943,[125],2021.0
Panama,Central America,Americas,2371852,,4351267,[126] [failed verification],2021.0
Georgia,Western Asia,Asia,3446533,,3757980,[127] [failed verification],2021.0
Uruguay,South America,Americas,2910000,,3426260,[128] [failed verification],2022.0
Mali,Western Africa,Africa,2358540,,21904983,[129] [failed verification],2021.0
Kyrgyzstan,Central Asia,Asia,2309235,,6527743,[130] [failed verification],2021.0
Lithuania,Northern Europe,Europe,2243448,,2786651,[131] [failed verification],2021.0
Niger,Western Africa,Africa,2194985,,25252722,[132] [failed verification],2021.0
Albania,Southern Europe,Europe,2105339,,2854710,[133] [failed verification],2021.0
Armenia,Western Asia,Asia,2043110,,2790974,[134] [failed verification],2021.0
El Salvador,Central America,Americas,1993079,,6314167,[135] [failed verification],2021.0
Tajikistan,Central Asia,Asia,1959127,,9750064,[136] [failed verification],2021.0
Laos,South-eastern Asia,Asia,1749517,,7425057,[137] [failed verification],2021.0
Nicaragua,Central America,Americas,1732218,,6850540,[138] [failed verification],2021.0
Slovenia,Southern Europe,Europe,1640893,,2119410,[139] [failed verification],2021.0
North Macedonia,Southern Europe,Europe,1589659,,2103330,[140] [failed verification],2021.0
Latvia,Northern Europe,Europe,1585471,,1873919,[141] [failed verification],2021.0
Benin,Western Africa,Africa,1578008,,12996895,[142] [failed verification],2021.0
Guinea,Western Africa,Africa,1449758,,13531906,[143] [failed verification],2021.0
Bahrain,Western Asia,Asia,1431090,,1463265,[144] [failed verification],2021.0
Jamaica,Caribbean,Americas,1409888,,2827695,[145] [failed verification],2021.0
Libya,Northern Africa,Africa,1387116,,6735277,[146] [failed verification],2021.0
Haiti,Caribbean,Americas,1353986,,11447569,[147] [failed verification],2021.0
Turkmenistan,Central Asia,Asia,1223591,,6341855,[148] [failed verification],2021.0
Estonia,Northern Europe,Europe,1153786,,1328701,[149] [failed verification],2021.0
Trinidad and Tobago,Caribbean,Americas,1058744,,1525663,[150] [failed verification],2021.0
Gabon,Middle Africa,Africa,1040000,,2341179,[151] [failed verification],2021.0
South Sudan,Eastern Africa,Africa,1003542,,10748272,[152] [failed verification],2021.0
Sierra Leone,Western Africa,Africa,1000575,,8420641,[153] [failed verification],2021.0
Chad,Middle Africa,Africa,968500,,17179740,[154] [failed verification],2021.0
Togo,Western Africa,Africa,963795,,8644829,[155] [failed verification],2021.0
Cyprus,Western Asia,Asia,952369,,1244188,[156] [failed verification],2021.0
Botswana,Southern Africa,Africa,948977,,2588423,[157] [failed verification],2021.0
Namibia,Southern Africa,Africa,933450,,2530151,[158] [failed verification],2021.0
Papua New Guinea,Melanesia,Oceania,924955,,9949437,[159] [failed verification],2021.0
Mauritania,Western Africa,Africa,919398,,4614974,[160] [failed verification],2021.0
Mongolia,Eastern Asia,Asia,729236,,3347782,[161] [failed verification],2021.0
Mauritius,Eastern Africa,Africa,702911,,1298915,[162] [failed verification],2021.0
Lesotho,Southern Africa,Africa,665312,,2281454,[163] [failed verification],2021.0
Burundi,Eastern Africa,Africa,607311,,12551213,[164] [failed verification],2021.0
Luxembourg,Western Europe,Europe,570794,,639321,[165] [failed verification],2021.0
Djibouti,Eastern Africa,Africa,532849,,1105557,[166] [failed verification],2021.0
"Macau, China",Eastern Asia,Asia,619200,,686607,[167],2023.0
Congo,Middle Africa,Africa,455055,,5835806,[168] [failed verification],2021.0
Fiji,Melanesia,Oceania,452479,,924610,[169] [failed verification],2021.0
Montenegro,Southern Europe,Europe,505055,,627859,[170] [failed verification],2021.0
Gambia,Western Africa,Africa,416753,,2639916,[171] [failed verification],2021.0
Eswatini,Southern Africa,Africa,414278,,1192271,[172] [failed verification],2021.0
Brunei,South-eastern Asia,Asia,406705,,445373,[173] [failed verification],2021.0
Bhutan,Southern Asia,Asia,388541,,777486,[174] [failed verification],2021.0
Liberia,Western Africa,Africa,377607,,5193416,[175] [failed verification],2021.0
East Timor,South-eastern Asia,Asia,356356,,1320942,[176] [failed verification],2021.0
Malta,Southern Europe,Europe,344970,,526748,[177] [failed verification],2021.0
Bahamas,Caribbean,Americas,336057,,407906,[178] [failed verification],2021.0
Equatorial Guinea,Middle Africa,Africa,332642,,1634466,[179] [failed verification],2021.0
Iceland,Northern Europe,Europe,329196,,370335,[180] [failed verification],2021.0
Cabo Verde,Western Africa,Africa,312315,,587925,[181] [failed verification],2021.0
