Rank,Country,% Christian,Christians
1,Vatican City,100%,800
2,Romania,99%,21490000
3,Papua New Guinea,99%,6860000
4,Tonga,99%,100000
5,Timor-Leste,99%,1120000
6,Armenia,98.5%,3090000
7,Namibia,97.6%,2280000
8,Marshall Islands,97.5%,50000
9,Moldova,97.5%,3570000
10,Solomon Islands,97.5%,520000
