Rank,Country,Fertility rate in 2023 (births/woman)
7 (7),Guadeloupe (France),-
8 (8),Martinique (France),-
9 (9),Mayotte (France),-
10,Niue (self-governing state in free association with New Zealand),-
11 (10),Norfolk Island (Australia),-
12 (..1..),"Paracel Islands (disputed territory) ( Vietnam, until 1974) (occupied by China since 1974, also claimed by Republic of China (Taiwan) and Vietnam)",-
13 (11),Pitcairn Islands (UK),-
14 (12),Réunion (France),-
15 (13),South Georgia and the South Sandwich Islands (UK),-
16 (..2..),Spratly Islands (disputed territory) (partially occupied by six countries - China; Republic of China (Taiwan); Philippines; Malaysia; Vietnam and Brunei),-
17 (14),Svalbard (Norway),-
18,Vatican City,-
19 (..3..),"Western Sahara (disputed territory between Morocco and the Sahrawi Arab Democratic Republic) (""Free Zone"" is a self proclaimed and de facto sovereign state)",3.65 (2020)
,Sovereign states: 2,
,Dependent territories: 14,
,Disputed territories: 3,
