Territory or other subnational area.
American Samoa (USA)
Anguilla (United Kingdom)
Aruba (Netherlands)
Bermuda (United Kingdom)
Bosnia and Herzegovina: Federation
Bosnia and Herzegovina: Republika Srpska
Cayman Islands (United Kingdom)
Cook Islands (New Zealand)
Curaçao (Netherlands)
Faeroe Islands (Denmark)
French Guiana/Guyane (France)
French Polynesia (France)
Gibraltar (United Kingdom)
Greenland (Denmark)
Guadeloupe (France)
Guam (USA)
Guernsey (United Kingdom)
Hong Kong (China)
Jersey (United Kingdom)
Macau (China)
Martinique (France)
Mayotte (France)
New Caledonia (France)
Northern Mariana Islands (USA)
Puerto Rico (USA)
Reunion (France)
Sint Maarten (Netherlands)
United Kingdom: England & Wales
United Kingdom: Northern Ireland
United Kingdom: Scotland
United States of America
Virgin Islands (United Kingdom)
Virgin Islands (USA)
