Location [Note 1],1950-1955,1955-1960,1960-1965,1965-1970,1970-1975,1975-1980,1980-1985,1985-1990,1990-1995,1995-2000,2000-2005,2005-2010,2010-2015,2015-2020,To CIA estimates
Bangladesh *,210.9,182.07,161.01,149.68,167.84,138.48,124.31,106.97,88.26,70.3,55.48,43.32,33.15,26.85,<-
South Africa *,134.21,121.24,112.49,103.08,88.79,70.64,55.82,45.52,41.23,47.25,53.93,48.08,32.94,27.24,<-
Nepal *,224.16,220.54,208.04,186.82,167.03,148.88,129.43,108.72,87.0,68.42,53.66,42.62,33.78,27.93,<-
Bolivia *,177.71,170.29,161.77,151.91,140.73,128.19,114.32,99.24,83.14,66.28,51.97,42.12,32.4,29.71,<-
Western Sahara * (disputed),216.58,200.92,186.87,173.17,159.66,133.75,109.86,87.87,75.86,64.39,52.92,43.04,34.13,28.78,<-
Tajikistan *,140.82,134.46,125.25,117.22,106.21,96.63,93.28,80.17,84.22,78.59,57.25,39.0,34.05,29.26,<-
Botswana *,127.89,112.48,98.66,85.44,71.45,56.4,43.51,36.32,41.82,56.43,57.04,44.15,35.47,30.15,<-
Madagascar *,182.66,168.56,156.41,144.63,133.81,122.39,109.05,107.81,100.05,77.73,57.97,45.49,36.77,29.04,<-
Rwanda *,150.34,145.18,140.03,136.07,134.6,130.03,113.84,119.73,196.26,122.28,94.28,62.68,39.41,29.18,<-
Senegal *,127.55,122.88,117.43,112.79,108.01,97.32,84.93,75.25,71.58,68.24,61.13,47.48,38.27,32.75,<-
India *,180.95,166.5,154.61,145.81,135.84,120.8,105.66,93.25,82.11,71.25,59.95,49.46,39.08,32.0,<-
Namibia *,143.99,130.78,115.33,100.71,87.8,75.9,68.72,55.06,49.78,50.73,51.13,43.46,38.56,33.38,<-
Congo *,134.2,121.37,108.06,96.58,85.91,76.27,67.06,60.12,63.97,74.47,72.23,52.48,41.42,35.29,<-
Gabon *,159.91,153.51,148.7,134.24,117.9,100.5,83.08,67.19,63.53,61.59,59.72,49.93,41.91,35.28,<-
Kenya *,142.46,133.76,120.93,109.43,96.99,85.95,75.69,73.54,74.03,70.97,62.76,51.12,41.56,36.34,<-
Eritrea *,199.33,181.27,159.98,147.87,139.99,132.04,121.15,111.58,94.43,71.12,59.38,51.65,45.01,34.72,<-
Ghana *,147.44,133.48,122.04,113.26,106.45,99.16,92.66,82.73,72.5,66.9,60.9,53.72,44.83,35.63,<-
Myanmar *,213.03,173.98,155.72,123.43,111.35,100.3,90.32,81.15,72.68,65.13,57.82,51.98,43.66,38.4,<-
East Timor *,264.27,241.45,220.56,201.0,183.16,253.22,183.22,141.32,118.5,89.79,69.02,53.27,44.89,37.34,<-
Ethiopia *,199.25,181.19,159.92,147.81,140.46,136.49,139.96,125.78,114.0,96.61,77.9,59.82,45.79,37.0,<-
Laos *,175.86,166.84,156.43,147.28,138.0,130.25,121.88,108.36,97.8,83.16,69.95,57.53,46.97,38.76,<-
Yemen *,287.97,281.05,270.84,239.85,198.47,159.02,121.01,96.13,83.54,74.88,61.56,48.64,43.28,43.23,<-
Tanzania *,148.42,142.37,138.11,132.18,124.56,116.5,112.99,109.3,105.26,92.23,70.96,55.48,46.86,41.21,<-
Djibouti *,154.16,143.27,131.2,120.16,103.95,96.34,87.38,81.2,76.1,71.75,68.1,63.42,55.67,33.36,<-
Zimbabwe *,113.74,103.34,91.39,79.9,75.5,74.73,65.19,54.91,61.84,69.98,65.01,62.69,51.22,38.74,<-
Turkmenistan *,149.99,139.85,130.21,120.28,110.48,100.63,90.84,80.89,75.44,67.55,61.98,54.14,46.88,43.28,<-
Papua New Guinea *,158.09,141.47,124.15,108.07,93.84,82.44,74.12,68.35,63.89,60.62,58.19,54.48,48.31,41.95,<-
Sudan *,134.53,121.43,111.18,102.07,93.29,89.04,86.98,84.07,79.91,70.1,61.79,53.18,47.83,42.86,<-
Kiribati *,146.77,133.88,121.45,105.19,92.93,88.3,86.11,77.95,66.22,58.4,52.29,51.44,47.93,42.98,<-
Eswatini *,144.8,137.82,130.21,121.4,107.52,89.05,68.91,52.52,54.1,76.42,86.32,74.23,51.61,41.36,<-
Malawi *,178.42,176.26,172.58,169.48,162.3,155.29,147.87,141.14,127.16,106.24,86.94,68.43,52.55,41.33,<-
Gambia,156.28,149.91,144.11,127.4,113.4,100.93,89.94,81.55,76.06,67.08,59.36,52.36,49.82,44.83,<-
Burundi *,166.26,157.42,148.56,140.26,136.43,131.53,117.01,103.55,110.55,103.05,87.54,69.99,52.33,42.44,<-
Zambia *,137.92,128.94,120.63,116.21,107.16,100.41,104.64,115.96,116.66,108.83,88.4,64.72,53.31,45.61,<-
Niger *,160.86,160.63,158.14,155.6,150.64,138.69,132.92,138.78,129.7,102.62,85.23,67.59,55.9,46.31,<-
Uganda *,150.34,141.42,131.47,120.49,116.52,115.92,116.98,116.1,105.28,93.51,79.51,70.73,58.96,46.15,<-
Togo *,185.96,164.05,144.83,127.94,112.79,100.61,92.24,87.12,83.39,80.18,77.31,64.16,55.67,49.68,<-
Comoros *,192.39,179.71,166.34,153.43,139.09,126.56,108.88,93.38,80.95,74.0,72.53,66.63,58.06,53.1,<-
Afghanistan *,275.87,253.65,230.19,211.07,191.64,171.52,150.04,129.08,110.33,96.17,84.65,72.19,60.1,51.71,<-
Mauritania *,147.77,137.38,121.76,108.91,103.05,96.63,86.78,75.63,70.32,69.71,69.2,65.57,58.86,53.44,<-
Liberia *,165.36,164.56,163.25,156.75,149.51,144.21,139.48,148.87,156.09,135.94,100.28,72.88,60.13,54.06,<-
Haiti *,221.29,194.79,181.34,166.8,148.43,131.73,120.12,105.22,92.37,79.35,68.94,63.82,60.96,54.3,<-
Mozambique *,164.47,158.02,152.04,152.89,153.02,152.11,149.6,144.53,138.38,121.33,98.79,78.68,62.78,53.91,<-
Guinea *,206.75,199.8,194.93,192.11,185.32,171.27,156.39,142.31,128.15,111.65,95.16,77.65,65.7,51.64,<-
Burkina Faso *,228.11,208.84,192.1,172.0,153.43,132.94,119.24,109.67,103.97,99.47,89.98,77.53,64.74,54.21,<-
Guinea-Bissau *,162.52,159.74,156.78,151.31,146.46,140.57,134.25,130.18,124.88,114.74,103.87,85.25,68.1,57.12,<-
Lesotho *,128.02,118.45,114.77,113.8,105.36,90.89,74.22,63.55,62.83,73.1,78.96,74.94,65.37,62.25,<-
Ivory Coast *,189.17,177.85,161.78,144.4,129.45,115.11,105.42,101.55,100.42,99.26,87.92,77.2,67.46,60.42,<-
Benin *,207.82,192.49,175.99,162.83,150.71,135.25,123.6,113.52,102.18,93.32,84.03,74.51,67.66,61.15,<-
