Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
,,,,,,,,,,,,,,,,,,,,
Afghanistan *,7.8,7.9,7.7,7.6,7.6,7.4,7.3,7.1,6.9,6.6,6.4,6.2,6.1,6.0,5.9,5.8,5.8,5.5,5.6,5.7
Albania,2.9,3.0,3.0,3.2,3.1,5.2,5.7,5.7,5.8,5.8,5.9,8.2,3.2,3.2,2.9,2.8,2.7,2.5,2.4,2.2
Algeria,3.5,3.4,3.3,3.1,2.9,2.8,2.7,2.5,2.4,2.3,2.2,2.1,2.1,2.1,2.0,2.0,1.9,1.9,1.9,1.9
Angola,6.2,6.1,6.5,6.9,6.8,6.5,6.8,5.9,6.1,5.4,5.6,5.2,5.4,5.2,4.8,5.1,5.1,4.9,4.6,4.7
Antigua and Barbuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.8,0.8,0.9,0.0,0.6,0.6
Argentina,3.4,4.0,4.2,3.8,3.5,3.5,3.3,3.2,3.3,3.2,3.1,3.3,3.4,3.1,3.7,3.2,3.1,3.6,3.6,3.3
Armenia,1.7,1.3,1.1,1.0,1.8,1.8,2.9,2.4,2.3,1.4,2.9,3.0,3.2,3.7,2.9,2.6,1.7,0.9,0.7,1.0
Australia *,5.0,4.9,4.6,4.3,3.9,4.4,4.5,4.8,4.6,4.8,4.9,5.0,5.7,5.3,5.8,6.0,5.6,5.9,5.4,5.6
Austria,7.9,7.2,6.5,7.0,6.1,6.3,5.3,5.5,5.4,5.2,5.5,5.8,4.8,5.5,5.6,5.4,5.7,4.6,4.8,4.6
Azerbaijan,1.3,1.5,1.6,1.7,1.9,2.0,2.0,2.1,2.0,1.9,1.9,1.8,1.8,1.6,1.6,1.6,1.5,1.5,1.5,1.5
Bahamas,1.1,1.1,0.9,0.9,1.3,1.3,1.4,1.3,1.2,1.2,1.3,1.3,1.2,1.1,1.0,1.1,1.1,1.0,1.2,1.2
