Rank,Country,Fertility rate in 2022 (births/woman)
86,Honduras,2.26
87,Peru,2.24
88,Suriname,2.24
89,Indonesia,2.22
90,Argentina,2.20
91,India,2.20
92,Venezuela,2.18
93,Seychelles,2.16
94,Cape Verde,2.15
95,Uzbekistan,2.14
,Population replacement,2.10
96,Burma (Myanmar),2.09
97,Libya,2.07
98,Tunisia,2.07
99 (4),New Caledonia (France),2.06
100,Nicaragua,2.04
101,Mexico,2.02
102,Antigua and Barbuda,1.99
103,Grenada,1.99
104,Azerbaijan,1.99
105,France,1.97
106,Ireland,1.97
107,Sri Lanka,1.97
108,El Salvador,1.96
109,Bangladesh,1.95
110,Turkey,1.95
111,Georgia,1.95
112,Nepal,1.94
113,Uruguay,1.94
114,Malaysia,1.94
115,Vietnam,1.93
116,New Zealand,1.93
117,Kuwait,1.92
118,Jamaica,1.92
119 (5),French Polynesia (France),1.92
120,Sweden,1.91
121,Bahrain,1.90
122,United States,1.89
123,Iceland,1.88
124,Bhutan,1.88
125,Maldives,1.88
126,United Kingdom,1.87
127,North Korea,1.86
128,Norway,1.83
129,Saint Vincent and the Grenadines,1.82
130,Belgium,1.81
131,Brunei,1.81
132,Barbados,1.81
133,Australia,1.80
134,Qatar,1.79
135 (6),Aruba (Netherlands),1.79
136,Finland,1.79
137,Russia,1.79
138,Denmark,1.78
139,Netherlands,1.76
140,Colombia,1.75
141,Belarus,1.75
142,Chile,1.74
143,Cuba,1.73
144,Bahamas,1.72
145,Costa Rica,1.71
146,Lithuania,1.71
147,Lebanon,1.70
148,Estonia,1.70
149,Albania,1.70
150,Trinidad and Tobago,1.69
151,Slovenia,1.68
152,United Arab Emirates,1.66
153,China,1.66
154,Brazil,1.65
155,Montenegro,1.64
156,Bulgaria,1.64
157,Serbia,1.64
158,Luxembourg,1.63
159,Czech Republic,1.63
160,Latvia,1.62
161,Ukraine,1.61
162,Armenia,1.58
163,Romania,1.58
164,North Macedonia,1.58
165,Switzerland,1.57
166,Canada,1.56
167,Austria,1.56
168,Iran,1.54
169,Italy,1.54
170,Japan,1.53
171,Malta,1.52
172,Channel Islands - (7) Guernsey (UK) and (8) Jersey (UK),1.51
173,Germany,1.50
174 (9),Macau (China),1.46
175,Hungary,1.45
176,Croatia,1.45
177,Bosnia and Herzegovina,1.44
178,Spain,1.44
179,Mauritius,1.43
180,Thailand,1.42
181 (10),Hong Kong (China),1.42
182,Saint Lucia,1.41
183,South Korea,1.39
184,Cyprus,1.34
185,Greece,1.31
186,Poland,1.29
187,Singapore,1.28
188,Republic of China (Taiwan),1.28
189,Portugal,1.25
190,Moldova,1.24
,Sovereign states: 180,
,Dependent territories: 10,
,World,
1,World,2.39
,Not ranked,
1 (1),American Samoa (US),-
2,Andorra,-
3 (2),Anguilla (UK),-
4 (3),Ashmore and Cartier Islands (Australia) (uninhabited),-
5 (4),Bermuda (UK),-
6 (5),British Virgin Islands (UK),-
7 (6),Cayman Islands (UK),-
8 (7),Christmas Island (Australia),-
9 (8),Cocos (Keeling) Islands (Australia),-
10,Cook Islands (self-governing country in free association with New Zealand),-
11 (9),Coral Sea Islands (Australia),-
12 (10),Curaçao (Netherlands),-
13,Dominica,-
-,European Union,-
14 (11),Falkland Islands (UK),-
15 (12),Faroe Islands (Denmark),-
16 (13),Gibraltar (UK),-
17 (14),Greenland (Denmark),-
18,Kosovo,-
19 (15),Isle of Man (UK),-
20 (16),Sint Maarten (Netherlands),-
21 (17),Guadeloupe (France),-
22,Liechtenstein,-
23,Marshall Islands,-
24 (18),Martinique (France),-
25 (19),Mayotte (France),-
26,Micronesia,-
27,Monaco,-
28 (20),Montserrat (UK),-
29,Nauru,-
30,Niue (self-governing state in free association with New Zealand),-
31 (21),Norfolk Island (Australia),-
32,Palau,-
33,Palestine (Gaza Strip and West Bank),-
34 (..1..),"Paracel Islands (disputed territory) ( Vietnam, until 1974) (occupied by China since 1974, also claimed by Republic of China (Taiwan) and Vietnam)",-
35 (22),Pitcairn Islands (UK),-
36 (23),Puerto Rico (US),-
37 (24),Réunion (France),-
38 (25),Saint Barthélemy (France),-
39 (26),"Saint Helena, Ascension and Tristan da Cunha (UK)",-
40 (27),Saint Pierre and Miquelon (France),-
41,Saint Kitts and Nevis,-
42 (28),Saint Martin (France),-
43,San Marino,-
44,Slovakia,-
45 (28),South Georgia and the South Sandwich Islands (UK),-
46 (..2..),Spratly Islands (disputed territory) (partially occupied by six countries - China; Republic of China (Taiwan); Philippines; Malaysia; Vietnam and Brunei),-
47 (29),Svalbard (Norway),-
48,East Timor,-
49 (30),Turks and Caicos Islands (UK),-
50,Tuvalu,-
51 (31),U.S. Virgin Islands (US),-
52,Vatican City,-
53 (32),Wallis and Futuna (France),1.71
,Sovereign states: 18,
,Dependent territories: 33,
,Disputed territories: 2,
