Rank,Country,Fertility rate in 2022 (births/woman)
1,Niger,6.86
2,Somalia,5.71
3,DR Congo,5.52
4,Mali,5.51
5,Chad,5.36
6,Angola,5.28
7,Burundi,5.22
8,Nigeria,5.11
9,Uganda,5.06
10,Gambia,4.99
11,Burkina Faso,4.87
12,Mozambique,4.86
13,Zambia,4.65
14,Tanzania,4.65
15,Benin,4.57
16,Ivory Coast,4.54
17,Central African Republic,4.43
18,Guinea,4.41
19,South Sudan,4.39
20,Senegal,4.36
21,Cameroon,4.32
22,Mauritania,4.32
23,Congo,4.31
24,Guinea-Bissau,4.20
25,Liberia,4.19
26,Equatorial Guinea,4.18
27,Malawi,4.18
28,Sudan,4.17
29,São Tomé and Príncipe,4.10
30,Togo,4.08
31,Iraq,4.04
32,Sierra Leone,3.90
33,Madagascar,3.87
34,Afghanistan,3.77
35,Eritrea,3.73
36,Samoa,3.69
37,Ghana,3.66
38,Ethiopia,3.56
39,Solomon Islands,3.54
40,Kenya,3.52
41,Rwanda,3.47
42,Yemen,3.44
43,Gabon,3.43
44,Kiribati,3.42
45,Tonga,3.41
46,Papua New Guinea,3.39
47,Zimbabwe,3.35
48,Pakistan,3.12
49,Tajikistan,3.11
50 (1),French Guiana (France),3.11
51,Namibia,3.10
52,Vanuatu,3.07
53,Jordan,3.02
54,Egypt,2.98
55,Comoros,2.95
56,Lesotho,2.83
57,Israel,2.82
58,Eswatini,2.81
59,Philippines,2.77
60 (2),Guam (US),2.76
61,Kyrgyzstan,2.76
62,Guatemala,2.69
63,Bolivia,2.66
64,Syria,2.65
65,Haiti,2.65
66,Turkmenistan,2.63
67 (3),Northern Mariana Islands (US),2.59
68,Djibouti,2.53
69,Mongolia,2.53
70,Botswana,2.49
71,Kazakhstan,2.47
72,Algeria,2.46
73,Laos,2.41
74,Cambodia,2.39
,World,2.39
75,Fiji,2.38
76,Panama,2.37
77,Guyana,2.37
78,Belize,2.33
79,Ecuador,2.33
80,Paraguay,2.33
81,Saudi Arabia,2.31
82,Oman,2.30
83,Morocco,2.30
84,"Western Sahara (disputed territory between Morocco and the Sahrawi Arab Democratic Republic) (""Free Zone"" is a self proclaimed and de facto sovereign state)",2.28
85,Dominican Republic,2.26
