Country (or territory),CIA[2][3],CIA[2][3].1,WB[4] 2009,UN[5] 2005–10,UN[5] 2010–15,UN[5] 2015–20
,.mw-parser-output .nobold{font-weight:normal}(%),Year,,,,
,,,,,,
Mali *,2.93,2023,2.99,3.27,2.95,2.99
Malta *,0.59,2023,0.4,0.45,0.55,0.31
Marshall Islands *,1.30,2023,0.11,-0.04,0.14,0.1
Mauritania *,1.96,2023,2.49,2.85,2.95,2.69
Mauritius *,0.09,2023,0.42,0.42,0.18,0.23
Mexico *,0.61,2023,1.24,1.57,1.41,1.23
Micronesia *,-0.70,2023,-0.03,-0.49,0.16,0.63
Moldova *,-1.14,2023,-0.04,-0.36,-0.09,-0.24
Monaco *,0.66,2023,0.85,1.86,0.65,0.51
Mongolia *,0.83,2023,1.52,1.42,1.86,1.5
Montenegro *,-0.43,2023,0.07,0.26,0.12,0.04
Morocco *,0.88,2023,1.43,1.2,1.43,1.26
Mozambique *,2.55,2023,2.5,2.93,2.91,2.86
Namibia *,1.80,2023,1.87,1.34,2.2,2.12
Nauru *,0.42,2023,,-0.18,2.32,-0.06
Nepal *,0.74,2023,1.16,1.05,1.17,1.09
Netherlands *,0.36,2023,0.45,0.36,0.3,0.29
New Zealand *[d],1.06,2023,0.63,1.1,1.09,0.93
Nicaragua *,0.91,2023,1.46,1.29,1.17,1.07
Niger *,3.66,2023,3.84,3.75,3.84,3.81
Nigeria *,2.53,2023,2.79,2.64,2.67,2.58
North Macedonia *,0.11,2023,0.08,0.1,0.08,0.08
Norway *,0.79,2023,1.32,1.07,1.25,0.94
Oman *,1.80,2023,9.13,3.83,6.45,4.08
Pakistan *,1.91,2023,2.69,2.05,2.09,1.91
Palau *,0.39,2023,0.72,0.56,0.79,1.06
Panama *,1.51,2023,1.64,1.8,1.71,1.55
Papua New Guinea *,2.31,2023,2.17,2.37,2.16,2.01
Paraguay *,1.12,2023,1.72,1.38,1.34,1.25
Peru *,0.50,2023,1.25,1.24,1.32,1.2
Philippines *,1.58,2023,1.72,1.66,1.64,1.51
